Index,Nome do Repository,URL,Total de Estrelas,Data da criacao,Data da ultima atualizacao,Total de Issues,Total de Issues Fechadas,Idade do repositorio (dias),Total de Pull Requests,Total de Releases,Data da ultima atualizacao,Linguagem primaria,Percentual de issues fechadas
1,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,399666,24/12/2014 17:49:19,24/08/2024 08:04:35,18198,18011,3532,37008,0,1,TypeScript,98.97%
2,free-programming-books,https://github.com/EbookFoundation/free-programming-books,332155,11/10/2013 06:50:37,25/08/2024 13:05:52,1094,1068,3971,9927,0,0,No primary language,97.62%
3,awesome,https://github.com/sindresorhus/awesome,320824,11/07/2014 13:42:37,14/08/2024 11:56:32,340,327,3698,2050,0,11,No primary language,96.18%
4,public-apis,https://github.com/public-apis/public-apis,310687,20/03/2016 23:49:42,02/08/2024 13:59:32,600,587,3079,3216,0,23,Python,97.83%
5,coding-interview-university,https://github.com/jwasham/coding-interview-university,303023,06/06/2016 02:34:12,16/08/2024 00:07:38,438,394,3002,989,0,9,No primary language,89.95%
6,build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,296598,09/05/2018 12:03:18,06/08/2024 00:02:50,663,481,2300,411,0,19,No primary language,72.55%
7,developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,288764,15/03/2017 13:45:52,24/08/2024 00:43:26,2181,2136,2720,3946,1,1,TypeScript,97.94%
8,996.ICU,https://github.com/996icu/996.ICU,269625,26/03/2019 07:31:14,20/02/2024 13:38:26,0,0,1979,1981,0,187,No primary language,0%
9,system-design-primer,https://github.com/donnemartin/system-design-primer,267918,26/02/2017 16:15:28,29/06/2024 00:09:29,295,84,2737,547,0,57,Python,28.47%
10,react,https://github.com/facebook/react,226655,24/05/2013 16:15:54,23/08/2024 22:24:44,13099,12431,4111,15895,101,2,JavaScript,94.9%
11,awesome-python,https://github.com/vinta/awesome-python,216699,27/06/2014 21:00:06,17/07/2024 21:16:44,0,0,3712,1923,0,39,Python,0%
12,vue,https://github.com/vuejs/vue,207600,29/07/2013 03:24:51,14/06/2024 12:52:12,10015,9660,4045,2536,249,72,TypeScript,96.46%
13,project-based-learning,https://github.com/practical-tutorials/project-based-learning,193563,12/04/2017 05:07:46,21/03/2023 10:24:20,162,69,2692,408,0,523,No primary language,42.59%
14,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,192063,01/06/2015 02:33:17,25/08/2024 14:50:57,804,804,3373,3034,1,0,No primary language,100.0%
15,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,186421,24/03/2018 07:47:04,13/07/2024 19:28:34,351,223,2346,756,0,43,JavaScript,63.53%
16,tensorflow,https://github.com/tensorflow/tensorflow,184870,07/11/2015 01:19:20,25/08/2024 17:35:12,39662,37915,3214,34170,208,0,C++,95.6%
17,Python,https://github.com/TheAlgorithms/Python,183557,16/07/2016 09:44:01,25/08/2024 15:33:11,1458,1430,2962,9518,0,0,Python,98.08%
18,You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,178690,16/11/2013 02:37:24,02/08/2024 23:04:36,925,846,3935,891,0,22,No primary language,91.46%
19,linux,https://github.com/torvalds/linux,176862,04/09/2011 22:48:12,25/08/2024 07:07:11,0,0,4738,888,0,0,C,0%
20,CS-Notes,https://github.com/CyC2018/CS-Notes,174393,13/02/2018 14:56:24,20/07/2023 03:02:08,578,446,2385,613,0,402,No primary language,77.16%
21,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,171950,28/08/2009 18:15:37,25/08/2024 15:15:23,4797,4677,5476,7317,0,0,Shell,97.5%
22,bootstrap,https://github.com/twbs/bootstrap,169857,29/07/2011 21:19:00,13/08/2024 12:53:44,22471,22020,4776,15288,89,12,JavaScript,97.99%
23,computer-science,https://github.com/ossu/computer-science,167668,04/05/2014 00:18:39,19/07/2024 11:35:33,636,620,3766,437,0,37,No primary language,97.48%
24,AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,166025,16/03/2023 09:21:07,25/08/2024 17:59:41,2560,2404,528,4145,21,0,Python,93.91%
25,flutter,https://github.com/flutter/flutter,164219,06/03/2015 22:54:58,25/08/2024 20:58:24,97735,85240,3459,55330,7,0,Dart,87.22%
26,vscode,https://github.com/microsoft/vscode,161826,03/09/2015 20:23:38,24/08/2024 21:18:44,181666,172533,3279,31947,139,1,TypeScript,94.97%
27,gitignore,https://github.com/github/gitignore,160649,08/11/2010 20:17:14,11/06/2024 18:14:44,0,0,5039,4405,0,75,No primary language,0%
28,Python-100-Days,https://github.com/jackfrued/Python-100-Days,154114,01/03/2018 16:05:52,15/08/2024 10:52:19,639,110,2369,341,0,10,Python,17.21%
29,the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,151887,20/05/2015 15:11:03,12/07/2023 21:40:23,251,132,3385,588,0,410,No primary language,52.59%
30,JavaGuide,https://github.com/Snailclimb/JavaGuide,145565,07/05/2018 13:27:00,21/08/2024 04:26:42,1034,971,2302,1339,0,4,Java,93.91%
31,javascript,https://github.com/airbnb/javascript,144385,01/11/2012 23:13:50,07/04/2024 18:18:29,1323,1231,4314,1591,0,140,JavaScript,93.05%
32,the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,141628,23/06/2018 10:43:14,16/01/2024 18:51:08,0,0,2255,282,0,222,No primary language,0%
33,stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,138493,22/08/2022 14:05:26,27/07/2024 12:49:39,7608,5388,734,3071,26,29,Python,70.82%
34,transformers,https://github.com/huggingface/transformers,131109,29/10/2018 13:56:00,23/08/2024 16:40:06,15543,14551,2127,17126,164,2,Python,93.62%
35,youtube-dl,https://github.com/ytdl-org/youtube-dl,130976,31/10/2010 14:35:07,06/08/2024 19:59:09,26593,22886,5047,4938,341,19,Python,86.06%
36,awesome-go,https://github.com/avelino/awesome-go,127607,06/07/2014 13:42:15,23/08/2024 15:07:10,646,644,3703,4615,0,2,Go,99.69%
37,fucking-algorithm,https://github.com/labuladong/fucking-algorithm,124741,19/02/2020 09:01:23,17/07/2024 18:49:54,829,456,1649,503,1,39,Markdown,55.01%
38,next.js,https://github.com/vercel/next.js,124285,05/10/2016 23:32:51,25/08/2024 13:22:29,21028,18152,2880,23268,1000,0,JavaScript,86.32%
39,go,https://github.com/golang/go,122202,19/08/2014 04:33:40,24/08/2024 00:51:40,63044,53949,3659,4093,0,1,Go,85.57%
40,30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,120861,29/11/2017 17:35:03,24/08/2024 11:55:48,294,294,2461,1611,10,1,JavaScript,100.0%
41,react-native,https://github.com/facebook/react-native,117732,09/01/2015 18:10:16,24/08/2024 02:42:29,25981,25382,3516,18387,336,1,C++,97.69%
42,tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,115864,05/07/2016 05:00:48,28/06/2024 22:26:29,93,62,2973,540,0,58,TypeScript,66.67%
43,electron,https://github.com/electron/electron,113494,12/04/2013 01:47:36,24/08/2024 01:59:41,19973,19118,4153,22690,1000,1,C++,95.72%
44,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,110914,04/11/2013 01:59:19,22/01/2024 00:24:11,0,0,3947,466,3,216,No primary language,0%
45,kubernetes,https://github.com/kubernetes/kubernetes,109379,06/06/2014 22:56:04,24/08/2024 08:42:09,45660,43805,3732,80791,690,1,Go,95.94%
46,awesome-chatgpt-prompts,https://github.com/f/awesome-chatgpt-prompts,108400,05/12/2022 13:54:13,31/07/2024 08:53:59,0,0,629,583,0,25,HTML,0%
47,d3,https://github.com/d3/d3,108333,27/09/2010 17:22:42,08/07/2024 09:38:34,2198,2192,5081,1177,194,48,Shell,99.73%
48,PowerToys,https://github.com/microsoft/PowerToys,108331,01/05/2019 17:44:02,24/08/2024 17:36:02,28836,22938,1943,5404,101,1,C#,79.55%
49,scrcpy,https://github.com/Genymobile/scrcpy,107919,21/11/2017 18:00:27,02/08/2024 20:58:09,4682,2752,2469,466,39,23,C,58.78%
50,node,https://github.com/nodejs/node,106186,26/11/2014 19:57:11,25/08/2024 22:16:25,18040,16452,3560,34391,404,0,JavaScript,91.2%
51,axios,https://github.com/axios/axios,105059,18/08/2014 22:30:27,25/08/2024 17:38:10,4656,4028,3660,1668,82,0,JavaScript,86.51%
52,create-react-app,https://github.com/facebook/create-react-app,102431,17/07/2016 14:55:11,14/06/2023 20:58:56,8299,6545,2961,4281,83,438,JavaScript,78.86%
53,three.js,https://github.com/mrdoob/three.js,101291,23/03/2010 18:58:01,25/08/2024 20:08:45,12479,12083,5269,16542,159,0,JavaScript,96.83%
54,TypeScript,https://github.com/microsoft/TypeScript,99825,17/06/2014 15:28:39,23/08/2024 19:05:40,40694,35464,3722,18004,199,2,TypeScript,87.15%
55,nodebestpractices,https://github.com/goldbergyoni/nodebestpractices,98942,15/09/2017 08:33:19,06/03/2024 16:18:29,321,283,2536,956,0,172,Dockerfile,88.16%
56,GitHub-Chinese-Top-Charts,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,97665,05/09/2019 03:01:56,25/08/2024 05:53:58,335,157,1816,25,0,0,Java,46.87%
57,rust,https://github.com/rust-lang/rust,96274,16/06/2010 20:39:03,25/08/2024 14:44:55,54056,44496,5184,75158,128,0,Rust,82.31%
58,angular,https://github.com/angular/angular,95581,18/09/2014 16:12:01,23/08/2024 21:46:54,27895,26504,3629,28019,354,2,TypeScript,95.01%
59,terminal,https://github.com/microsoft/terminal,94735,11/08/2017 18:38:22,23/08/2024 20:10:12,12607,11123,2571,4399,117,2,C++,88.23%
60,hello-algo,https://github.com/krahets/hello-algo,93808,04/11/2022 11:08:34,22/08/2024 18:33:47,205,196,660,1039,8,3,Java,95.61%
61,deno,https://github.com/denoland/deno,93754,15/05/2018 01:34:26,25/08/2024 13:59:11,10565,8674,2294,13507,290,0,Rust,82.1%
62,material-ui,https://github.com/mui/material-ui,93032,18/08/2014 19:11:54,25/08/2024 13:53:24,19222,17526,3660,22978,488,0,TypeScript,91.18%
63,Microsoft-Activation-Scripts,https://github.com/massgravel/Microsoft-Activation-Scripts,92052,12/01/2020 23:03:34,12/08/2024 00:04:06,379,376,1686,33,15,13,Batchfile,99.21%
64,ant-design,https://github.com/ant-design/ant-design,91669,24/04/2015 15:37:24,23/08/2024 13:40:13,29968,28832,3411,17946,664,2,TypeScript,96.21%
65,langchain,https://github.com/langchain-ai/langchain,91211,17/10/2022 02:58:36,24/08/2024 01:23:52,7441,6823,678,14479,539,1,Jupyter Notebook,91.69%
66,clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,91070,25/11/2016 22:25:41,11/02/2023 17:28:23,292,163,2830,287,0,561,JavaScript,55.82%
67,HelloGitHub,https://github.com/521xueweihan/HelloGitHub,89602,04/05/2016 06:24:11,26/07/2024 00:04:41,2666,2529,3035,43,45,30,Python,94.86%
68,java-design-patterns,https://github.com/iluwatar/java-design-patterns,89108,09/08/2014 16:45:18,01/08/2024 05:18:08,937,801,3669,2060,0,24,Java,85.49%
69,godot,https://github.com/godotengine/godot,88225,04/01/2014 16:05:36,25/08/2024 20:51:38,51867,41330,3886,43116,57,0,C++,79.68%
70,puppeteer,https://github.com/puppeteer/puppeteer,88036,09/05/2017 22:16:13,22/08/2024 09:36:23,6856,6596,2665,5979,428,3,TypeScript,96.21%
71,vue-element-admin,https://github.com/PanJiaChen/vue-element-admin,87406,17/04/2017 03:35:49,11/04/2022 03:32:06,3582,2349,2687,586,49,867,Vue,65.58%
72,free-for-dev,https://github.com/ripienaar/free-for-dev,86692,18/03/2015 21:06:26,25/08/2024 06:48:27,0,0,3448,3301,0,0,HTML,0%
73,ollama,https://github.com/ollama/ollama,86553,26/06/2023 19:39:32,25/08/2024 00:24:50,4107,3066,426,2211,87,0,Go,74.65%
74,papers-we-love,https://github.com/papers-we-love/papers-we-love,86340,15/12/2013 14:31:41,29/06/2024 16:31:38,236,217,3906,516,0,57,Shell,91.95%
75,thefuck,https://github.com/nvbn/thefuck,84267,08/04/2015 15:08:04,25/01/2024 19:52:35,725,470,3427,694,17,213,Python,64.83%
76,storybook,https://github.com/storybookjs/storybook,83833,18/03/2016 04:23:44,23/08/2024 16:50:39,12691,10840,3082,12706,1000,2,TypeScript,85.41%
77,iptv,https://github.com/iptv-org/iptv,83797,14/11/2018 22:00:57,25/08/2024 02:43:56,8291,8278,2111,7021,0,0,JavaScript,99.84%
78,frp,https://github.com/fatedier/frp,83776,21/12/2015 15:24:59,16/08/2024 14:24:27,3486,3430,3170,885,99,9,Go,98.39%
79,Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,82755,10/11/2020 02:44:00,20/02/2024 04:37:36,288,235,1384,849,0,187,JavaScript,81.6%
80,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,81871,30/03/2016 15:47:10,22/08/2024 10:49:28,0,0,3070,108,0,3,No primary language,0%
81,every-programmer-should-know,https://github.com/mtdvio/every-programmer-should-know,81816,24/08/2017 13:18:26,10/05/2024 06:51:02,51,21,2558,169,0,107,No primary language,41.18%
82,pytorch,https://github.com/pytorch/pytorch,81581,13/08/2016 05:26:41,25/08/2024 22:14:02,44388,30665,2934,89664,54,0,Python,69.08%
83,tailwindcss,https://github.com/tailwindlabs/tailwindcss,81447,06/10/2017 14:59:14,23/08/2024 13:51:53,3351,3314,2515,2745,228,2,TypeScript,98.9%
84,tauri,https://github.com/tauri-apps/tauri,81184,13/07/2019 09:09:37,25/08/2024 19:35:42,4367,3452,1870,4769,1000,0,Rust,79.05%
85,neovim,https://github.com/neovim/neovim,81108,31/01/2014 13:39:22,25/08/2024 07:36:00,11582,10128,3859,18090,38,0,Vim Script,87.45%
86,yt-dlp,https://github.com/yt-dlp/yt-dlp,80874,26/10/2020 04:22:55,21/08/2024 07:17:26,7606,6210,1399,3009,91,4,Python,81.65%
87,animate.css,https://github.com/animate-css/animate.css,80476,12/10/2011 10:07:38,02/03/2024 10:57:25,864,841,4701,904,22,176,CSS,97.34%
88,realworld,https://github.com/gothinkster/realworld,80175,26/02/2016 20:49:53,22/08/2024 05:43:53,531,493,3103,819,0,3,TypeScript,92.84%
89,excalidraw,https://github.com/excalidraw/excalidraw,79814,02/01/2020 01:04:43,23/08/2024 18:27:57,3460,1986,1697,4613,13,2,TypeScript,57.4%
90,django,https://github.com/django/django,78600,28/04/2012 02:47:18,23/08/2024 16:07:47,0,0,4502,18456,0,2,Python,0%
91,nvm,https://github.com/nvm-sh/nvm,78434,15/04/2010 17:47:47,21/08/2024 05:33:38,2181,1891,5246,1075,67,4,Shell,86.7%
92,app-ideas,https://github.com/florinpop17/app-ideas,78379,25/02/2019 18:36:56,05/05/2023 11:19:50,145,43,2008,667,0,478,No primary language,29.66%
93,svelte,https://github.com/sveltejs/svelte,78044,20/11/2016 18:13:05,25/08/2024 20:08:06,6909,6116,2835,5699,262,0,JavaScript,88.52%
94,laravel,https://github.com/laravel/laravel,77888,08/06/2011 03:06:08,14/08/2024 14:36:13,0,0,4827,4782,170,11,PHP,0%
95,bitcoin,https://github.com/bitcoin/bitcoin,77703,19/12/2010 15:16:43,24/08/2024 17:56:24,8104,7740,4998,21161,51,1,C++,95.51%
96,opencv,https://github.com/opencv/opencv,77623,19/07/2012 09:40:17,23/08/2024 14:12:19,10689,8222,4420,15208,63,2,C++,76.92%
